price,region,locality,type,bedrooms,bathrooms,area,form
688000,North,Dingli,Penthouse,3,2,201,Luxuriously finished
439500,North,Dingli,Flats,3,2,220,Luxuriously finished
429000,North,Dingli,Flats,3,2,220,Luxuriously finished
418000,North,Dingli,Flats,3,2,220,Luxuriously finished
476500,North,Dingli,Gr Floor Maisonette,3,2,283,Luxuriously finished
1875000,South,Zebbug,House of Character,3,3,500,Furnished
325000,center,Msida,Flats,3,2,150,Partly furnished
355000,center,Birkirkara,Maisonette,3,2,260,Shell form
700000,South,Gudja,Plot,0,0,296,
250000,East,Fgura,Maisonette,3,2,138,Finished
260000,East,Fgura,Penthouse,2,2,116,Finished
260000,East,Fgura,Penthouse,2,2,116,Finished
210000,East,Fgura,Flats,3,2,126,Finished
210000,East,Fgura,Flats,3,2,126,Finished
199000,East,Fgura,Flats,3,2,126,Finished
205000,East,Fgura,Flats,3,2,126,Finished
199000,East,Fgura,Flats,3,2,126,Finished
199000,East,Fgura,Flats,3,2,126,Finished
476000,East,Tarxien,Duplex Maisonette,3,2,273,Furnished
200000,East,Senglea,Flats,2,1,75,Finished
299000,center,Gzira,Flats,3,2,118,Furnished
250000,East,Senglea,Flats,2,1,100,Finished
339000,South,Safi,House of Character,3,3,230,Unconverted
250000,East,Fgura,Flats,3,2,120,Furnished
435000,South,Zebbug,Penthouse,3,2,180,Furnished
117000,East,Paola,Flats,1,1,70,Shell form
244000,center,Birkirkara,Flats,3,2,150,Furnished
565000,South,Ghaxaq,1st Floor Maisonette,4,2,200,Needs modernising
265000,South,Ghaxaq,Penthouse,1,2,90,Finished
244000,South,Ghaxaq,Flats,2,2,116,Finished
233000,South,Ghaxaq,Flats,2,2,102,Finished
650000,center,Sliema,Flats,3,2,190,Furnished
6500000,North,Gharghur,Detached Villa,4,4,4500,Highly Finished
280000,East,Marsascala,Flats,3,2,191,Furnished
190000,East,Paola,Flats,3,2,164,Shell form
424000,North,Swieqi,Flats,4,2,220,Furnished
192000,North,Bugibba,Gr Floor Maisonette,1,0,90,Fully Furnished
245000,South,Qormi,Flats,3,2,135,Furnished
122000,East,Cospicua,Duplex Maisonette,2,3,60,Converted
175000,East,Paola,Flats,3,2,104,Finished
1090000,center,Attard,House of Character,3,0,400,Furnished
175000,East,Tarxien,Penthouse,1,1,85,Shell form
219000,East,Zabbar,Townhouse,2,1,196,Ordinary finish
742000,South,Siggiewi,Terraced House,3,2,404,Habitable
430000,North,Mosta,House of Character,2,2,110,Expert conversion
